route,date,hour,boardings,selected,selected_events,selected_events_r10,selected_weather
1,2025-07-01,0,5.0,4.4859519878200835,4.485779083813426,4.386962009780837,4.562087046597236
1,2025-07-01,1,0.0,0.0,0.0,0.0,0.0
1,2025-07-01,2,0.0,0.0,0.0,0.0,0.0
1,2025-07-01,3,0.0,0.0,0.0,0.0,0.0
1,2025-07-01,4,5.0,5.9818701709336395,5.981639609099124,5.849870274710476,6.083393780258456
1,2025-07-01,5,146.0,138.48765584948018,138.4823180592778,135.43169581057023,140.8380523420503
1,2025-07-01,6,463.0,490.3109199778972,490.2920217099705,479.4913955307351,498.6324202554196
1,2025-07-01,7,1091.0,1209.918740100111,1209.8721056736927,1183.2198744330303,1230.4533411487203
1,2025-07-01,8,1427.0,1588.9718267769383,1588.9105823418527,1553.9085254610306,1615.9396730123344
1,2025-07-01,9,1269.0,1370.9812578414774,1370.9284155120954,1340.7282803298087,1394.2493933301184
1,2025-07-01,10,1058.0,1290.0684760050412,1290.0187523323473,1261.6009733532974,1311.963369109977
1,2025-07-01,11,1186.0,1229.9547022214854,1229.9072955402282,1202.8137097871597,1250.8293513040257
1,2025-07-01,12,1116.0,1291.860766464176,1291.810973710448,1263.3537139479506,1313.786078115682
1,2025-07-01,13,934.0,1252.9585772103856,1252.910283880728,1225.309966084163,1274.2236454010967
1,2025-07-01,14,855.0,1128.8384523212724,1128.7949430077965,1103.9287578108233,1147.9969680946776
1,2025-07-01,15,944.0,1136.5410642623383,1136.4972580637266,1111.4613988317901,1155.8303078755564
1,2025-07-01,16,1262.0,1180.136292113763,1180.0908056052442,1154.0946256053285,1200.1654288965651
1,2025-07-01,17,1225.0,1498.7854717752193,1498.7277034322024,1465.7122821068058,1524.222685614728
1,2025-07-01,18,1425.0,1611.725590180204,1611.663468736878,1576.1601892997635,1639.0796106588407
1,2025-07-01,19,1181.0,1306.758805843092,1306.7084388677256,1277.9230033547424,1328.9369652974406
1,2025-07-01,20,762.0,848.3295168016721,848.2968192666073,829.6097176450498,862.7272673347701
1,2025-07-01,21,445.0,462.0903741465447,462.072563595441,451.89358289396114,469.9329185811542
1,2025-07-01,22,281.0,244.3892783891587,244.37985878646737,238.99642323456615,248.537024982342
1,2025-07-01,23,29.0,40.275399615658486,40.27384726334125,39.38665605926271,40.9589490440378
1,2025-07-02,0,2.0,3.672317117865236,3.6721710550692768,3.5833762281473382,3.69552426348607
1,2025-07-02,1,0.0,0.0,0.0,0.0,0.0
1,2025-07-02,2,0.0,0.0,0.0,0.0,0.0
1,2025-07-02,3,0.0,0.0,0.0,0.0,0.0
1,2025-07-02,4,7.0,8.678549044441677,8.67820386370221,8.46836080396593,8.733392987649117
1,2025-07-02,5,151.0,130.909287203326,130.90408041537924,127.73875805170198,131.73656621920065
1,2025-07-02,6,427.0,463.8086085185985,463.79016098806784,452.5754962964045,466.7396391384009
1,2025-07-02,7,1233.0,1171.2487799201494,1171.202194653663,1142.8819735622997,1178.6504666812405
1,2025-07-02,8,1562.0,1551.4818619169444,1551.4201532541688,1513.9060827150954,1561.2864251782237
1,2025-07-02,9,1328.0,1398.0481881508783,1397.9925821613374,1364.1884626065557,1406.8831299181682
1,2025-07-02,10,1192.0,1261.5052873074574,1261.4551121772963,1230.952533001157,1269.4773485332087
1,2025-07-02,11,1421.0,1281.9956782341224,1281.9446881188462,1250.9466613390548,1290.0972281371312
1,2025-07-02,12,1228.0,1188.8523888713023,1188.80510343861,1160.0592357160192,1196.3653213400132
1,2025-07-02,13,1251.0,1256.9776681381602,1256.9276730895917,1226.5345695245182,1264.9211171515112
